Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
1957,1:58.95,,Stella JONGMANS,17 MAY 1971,NED,7f1,,Zürich (SUI),1995-08-16,1181,1995,118.95
1957,1:58.95,,Joetta CLARK,01 AUG 1962,USA,4,,"Eugene, OR (USA)",1997-05-25,1181,1997,118.95
1957,1:58.95,,Natalya TSYGANOVA,07 FEB 1971,RUS,1,,Budapest (HUN) (i),1999-02-05,1203,1999,118.95
1957,1:58.95,,Natalya TSYGANOVA,07 FEB 1971,RUS,4sf2,,Tula (RUS),2004-07-30,1181,2004,118.95
1957,1:58.95,,Zulia CALATAYUD,09 NOV 1979,CUB,1,,Rethymno (GRE),2005-07-10,1181,2005,118.95
1957,1:58.95,,Olga KOTLYAROVA,12 APR 1976,RUS,2,,Sochi (RUS),2006-05-28,1181,2006,118.95
1957,1:58.95,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1h6,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-25,1181,2007,118.95
1957,1:58.95,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1,,Nairobi (KEN),2010-06-26,1181,2010,118.95
1957,1:58.95,,Sage HURTA,23 JUN 1998,USA,5,,"Olympiastadion, Stockholm (SWE)",2022-06-30,1181,2022,118.95
1957,1:58.95,,Catriona BISSET,01 MAR 1994,AUS,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1181,2023,118.95
1969,1:58.96,,Mitica CONSTANTIN,18 AUG 1962,ROU,2,,Villeneuve d'Ascq (FRA),1988-06-27,1181,1988,118.96000000000001
1969,1:58.96,,Viorica GHICAN,09 JUN 1965,ROU,3,,Pitesti (ROU),1988-08-12,1181,1988,118.96000000000001
1969,1:58.96,,Liu LI,12 MAR 1971,CHN,2sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-15,1181,1993,118.96000000000001
1969,1:58.96,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1997-03-09,1203,1997,118.96000000000001
1969,1:58.96,,Natalya TSYGANOVA,07 FEB 1971,RUS,2,,Stockholm (SWE) (i),2000-02-17,1203,2000,118.96000000000001
1969,1:58.96,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,3,,"Stade de France, Paris-St-Denis (FRA)",2005-07-01,1181,2005,118.96000000000001
1969,1:58.96,,Ewelina SĘTOWSKA-DRYK,05 MAR 1980,POL,7,,Rieti (ITA),2006-08-27,1181,2006,118.96000000000001
1969,1:58.96,,Margarita MUKASHEVA,04 JAN 1986,KAZ,1,,"Central Stadium, Kazan (RUS)",2013-07-09,1181,2013,118.96000000000001
1969,1:58.96,,Alysia MONTAÑO,23 APR 1986,USA,2,,"Olympiastadion, Stockholm (SWE)",2013-08-22,1181,2013,118.96000000000001
1969,1:58.96,,Nelly JEPKOSGEI,14 JUL 1991,BRN,4,,"Bislett Stadion, Oslo (NOR)",2018-06-07,1181,2018,118.96000000000001
1969,1:58.96,,Anita HORVAT,07 SEP 1996,SLO,3,,"Stadion Śląski, Chorzów (POL)",2022-08-06,1181,2022,118.96000000000001
1980,1:58.97,,Fita LOVIN,14 JAN 1951,ROU,5,,Torino (ITA),1979-08-04,1181,1979,118.97
1980,1:58.97,,Nadezhda LOBOYKO,07 SEP 1961,URS,3,,Sochi (URS),1984-06-10,1181,1984,118.97
1980,1:58.97,,Gaby BUSSMANN,08 OCT 1959,FRG,3sf2,,"Neckarstadion, Stuttgart (GER)",1986-08-27,1181,1986,118.97
1980,1:58.97,,Linda KISABAKA,09 APR 1969,GER,6,,Köln (GER),1997-08-24,1181,1997,118.97
1980,1:58.97,,Hazel CLARK,03 OCT 1977,USA,3,,"Eugene, OR (USA)",2000-06-24,1181,2000,118.97
1980,1:58.97,,Hazel CLARK,03 OCT 1977,USA,1,,"Sacramento, CA (USA)",2000-07-23,1181,2000,118.97
1980,1:58.97,,Helena FUCHSOVÁ,03 JUN 1965,CZE,3h5,,"Olympic Stadium, Sydney (AUS)",2000-09-22,1181,2000,118.97
1980,1:58.97,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Karlsruhe (GER) (i),2002-01-25,1203,2002,118.97
1980,1:58.97,,Brigita LANGERHOLC,23 JUL 1976,SLO,3,,"Stade Louis II, Monaco (MON)",2002-07-19,1181,2002,118.97
1980,1:58.97,,Svetlana KLYUKA,27 DEC 1978,RUS,1sf2,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-26,1181,2007,118.97
1980,1:58.97,,Yuliya KREVSUN,08 DEC 1980,UKR,1h4,,Donetsk (UKR),2010-07-02,1181,2010,118.97
1980,1:58.97,,Alysia MONTAÑO,23 APR 1986,USA,1,,Albi (FRA),2012-08-15,1181,2012,118.97
1980,1:58.97,,Angelika CICHOCKA,15 MAR 1988,POL,6,,"Stade Louis II, Monaco (MON)",2016-07-15,1181,2016,118.97
1980,1:58.97,,Elena BELLÒ,18 JAN 1997,ITA,3,,"Stadio Olimpico, Roma (ITA)",2022-06-09,1181,2022,118.97
1980,1:58.97,,Elena BELLÒ,18 JAN 1997,ITA,4,,"Stadion Śląski, Chorzów (POL)",2022-08-06,1181,2022,118.97
1980,1:58.97,,Kate GRACE,24 OCT 1988,USA,2sf1,,"Hayward Field, Eugene, OR (USA)",2024-06-23,1181,2024,118.97
1996,1:58.98,,Shireen BAILEY,27 SEP 1959,GBR,1,,Lausanne (SUI),1987-09-15,1181,1987,118.97999999999999
1996,1:58.98,,Ellen VAN LANGEN,09 FEB 1966,NED,6,,"Ullevi Stadium, Göteborg (SWE)",1995-08-13,1181,1995,118.97999999999999
1996,1:58.98,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1h2,,"Olympic Stadium, Atlanta, GA (USA)",1996-07-26,1181,1996,118.97999999999999
1996,1:58.98,,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,2h5,,"Olympic Stadium, Atlanta, GA (USA)",1996-07-26,1181,1996,118.97999999999999
1996,1:58.98,,Natalya DUKHNOVA,16 JUL 1966,BLR,7,,Monaco (MON),1996-08-10,1181,1996,118.97999999999999
1996,1:58.98,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Rovereto (ITA),1996-08-28,1181,1996,118.97999999999999
1996,1:58.98,,Jian ZHANG,05 APR 1976,CHN,4,,Shanghai (CHN),1997-10-22,1181,1997,118.97999999999999
1996,1:58.98,,Ludmila FORMANOVÁ,02 JAN 1974,CZE,1,,Ostrava (CZE),2000-09-03,1181,2000,118.97999999999999
1996,1:58.98,,Natalya TSYGANOVA,07 FEB 1971,RUS,2,,"Stadio Olimpico, Roma (ITA)",2001-06-29,1181,2001,118.97999999999999
1996,1:58.98,,Faith MACHARIA,09 FEB 1976,KEN,4,,"Commonwealth Stadium, Edmonton (CAN)",2001-08-12,1181,2001,118.97999999999999
1996,1:58.98,,Yuliya KREVSUN,08 DEC 1980,UKR,2,,"Olympiastadion, Berlin (GER)",2008-06-01,1181,2008,118.97999999999999
1996,1:58.98,,Maggie VESSEY,23 DEC 1981,USA,1sf1,,"DS, Daegu (KOR)",2011-09-02,1181,2011,118.97999999999999
1996,1:58.98,,Lynsey SHARP,11 JUL 1990,GBR,2h1,,"National Stadium, Beijing (CHN)",2015-08-26,1181,2015,118.97999999999999
1996,1:58.98,,Lynsey SHARP,11 JUL 1990,GBR,8,,"Olympic Stadium, London (GBR)",2017-08-13,1181,2017,118.97999999999999
1996,1:58.98,,Sofia ENNAOUI,30 AUG 1995,POL,3,,"Stadion Śląski, Chorzów (POL)",2022-06-05,1181,2022,118.97999999999999
1996,1:58.98,,Raevyn ROGERS,07 SEP 1996,USA,7,,"Olympic Stadium, London (GBR)",2023-07-23,1181,2023,118.97999999999999
1996,1:58.98,,Nelly CHEPCHIRCHIR,04 JUN 2003,KEN,4,,"Nyayo National Stadium, Nairobi (KEN)",2024-04-20,1181,2024,118.97999999999999
1996,1:58.98,,Sage HURTA-KLECKER,23 JUN 1998,USA,3,,"Drake Stadium, Los Angeles, CA (USA)",2024-05-18,1181,2024,118.97999999999999
2014,1:58.99,,Doris GLUTH,19 DEC 1955,GDR,7,,"Olympic Stadium, Montréal (CAN)",1976-07-26,1180,1976,118.99000000000001
2014,1:58.99,,Gabriella DORIO,26 JUN 1957,ITA,2,,Bucureşti (ROU),1981-07-26,1180,1981,118.99000000000001
2014,1:58.99,,Katrin WÜHN,19 NOV 1965,GDR,1,,Berlin (GER),1984-06-09,1180,1984,118.99000000000001
2014,1:58.99,,Antje SCHRÖDER,02 SEP 1963,GDR,2,,Berlin (GER),1984-06-09,1180,1984,118.99000000000001
2014,1:58.99,,Lyudmila ROGACHOVA,30 OCT 1966,URS,2,,Jerez de la Frontera (ESP),1990-09-03,1180,1990,118.99000000000001
2014,1:58.99,,Letitia VRIESDE,05 OCT 1964,SUR,2,,Leverkusen (GER),1999-09-05,1180,1999,118.99000000000001
2014,1:58.99,,Jolanda ČEPLAK,12 SEP 1976,SLO,5,,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,1180,2003,118.99000000000001
2014,1:58.99,,Janeth JEPKOSGEI,13 DEC 1983,KEN,2,,"Estadio Iberoamericano, Huelva (ESP)",2006-06-20,1180,2006,118.99000000000001
2014,1:58.99,,Jolanda ČEPLAK,12 SEP 1976,SLO,1,,Karlsruhe (GER) (i),2007-02-11,1202,2007,118.99000000000001
2014,1:58.99,,Elisa CUSMA,24 JUL 1981,ITA,2,,"Stade de France, Paris-St-Denis (FRA)",2009-07-17,1180,2009,118.99000000000001
2014,1:58.99,,Yuliya STEPANOVA,03 JUL 1986,RUS,1h3,,Cheboksary (RUS),2009-07-23,1180,2009,118.99000000000001
2014,1:58.99,,Rose Mary ALMANZA,13 JUL 1992,CUB,1,,"Stade Raymond Petit, Tomblaine (FRA)",2015-07-01,1180,2015,118.99000000000001
2014,1:58.99,,Shelayna OSKAN-CLARKE,20 JAN 1990,GBR,5,,"National Stadium, Beijing (CHN)",2015-08-29,1180,2015,118.99000000000001
2014,1:58.99,,Nataliya LUPU,04 NOV 1987,UKR,6,,"National Stadium, Beijing (CHN)",2015-08-29,1180,2015,118.99000000000001
2014,1:58.99,,Habitam ALEMU,09 JUL 1997,ETH,3h4,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-17,1180,2016,118.99000000000001
2014,1:58.99,,Ajee' WILSON,08 MAY 1994,USA,2,,"Arena Birmingham, Birmingham (GBR) (i)",2018-03-04,1202,2018,118.99000000000001
2014,1:58.99,,Emily Cherotich TUEI,13 MAY 1986,KEN,7,,"Stade Charléty, Paris (FRA)",2018-06-30,1180,2018,118.99000000000001
2014,1:58.99,,Eunice Jepkoech SUM,10 APR 1988,KEN,2,,"Nyayo National Stadium, Nairobi (KEN)",2019-09-13,1180,2019,118.99000000000001
2014,1:58.99,,Adelle TRACEY,27 MAY 1993,JAM,4sf3,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1180,2023,118.99000000000001
2033,1:59.00,,Lyudmila VESELKOVA,25 OCT 1950,URS,1sf2,,"Olympic Stadium, Athina (GRE)",1982-09-07,1180,1982,119.0
2033,1:59.00,,Robin CAMPBELL,25 JAN 1959,USA,1,,"Indianapolis, IN (USA)",1983-06-19,1180,1983,119.0
2033,1:59.00,,Doina MELINTE,27 DEC 1956,ROU,1f2,,Budapest (HUN) (i),1987-02-08,1202,1987,119.0
2033,1:59.00,,Viorica GHICAN,09 JUN 1965,ROU,1,,Warszawa (POL),1989-06-18,1180,1989,119.0
2033,1:59.00,,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,6f1,,Zürich (SUI),1993-08-04,1180,1993,119.0
2033,1:59.00,,Ellen VAN LANGEN,09 FEB 1966,NED,3,,Nice (FRA),1995-07-12,1180,1995,119.0
2033,1:59.00,,Joetta CLARK,01 AUG 1962,USA,8,,Zürich (SUI),1997-08-13,1180,1997,119.0
2033,1:59.00,,Stephanie GRAF,26 APR 1973,AUT,4,,Athina (GRE),1999-06-16,1180,1999,119.0
2033,1:59.00,,Zulia CALATAYUD,09 NOV 1979,CUB,1,,Athina (GRE),2001-06-11,1180,2001,119.0
2033,1:59.00,,Hazel CLARK,03 OCT 1977,USA,1sf1,,"Olympiastadion, Helsinki (FIN)",2005-08-07,1180,2005,119.0
2033,1:59.00,,Kenia SINCLAIR,14 JUL 1980,JAM,2,,"Eugene, OR (USA)",2006-05-28,1180,2006,119.0
2033,1:59.00,,Kenia SINCLAIR,14 JUL 1980,JAM,3,,"Bislett Stadion, Oslo (NOR)",2008-06-06,1180,2008,119.0
2033,1:59.00,,Maggie VESSEY,23 DEC 1981,USA,2f2,,Lignano Sabbiadoro (ITA),2010-07-18,1180,2010,119.0
2033,1:59.00,,Yuneysi SANTIUSTI,24 DEC 1984,CUB,1,,Torino (ITA),2011-06-10,1180,2011,119.0
2033,1:59.00,,Selina BÜCHEL,26 JUL 1991,SUI,1h3,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-17,1180,2016,119.0
2033,1:59.00,,Nelly JEPKOSGEI,14 JUL 1991,BRN,4,,"Khalifa International Stadium, Doha (QAT)",2019-05-03,1180,2019,119.0
2033,1:59.00,,Jemma REEKIE,06 MAR 1998,GBR,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1180,2022,119.0
2033,1:59.00,,Addison WILEY,24 OCT 2003,USA,1f1,,"Rhodes College, Memphis, TN (USA)",2023-08-04,1180,2023,119.0
2033,1:59.00,,Michaela ROSE,13 JUN 2003,USA,3sf1,,"Hayward Field, Eugene, OR (USA)",2024-06-23,1180,2024,119.0
2052,1:59.01,,Jozefína ČERCHLANOVÁ,29 MAR 1952,TCH,1,,Bratislava (TCH),1976-07-03,1180,1976,119.00999999999999
2052,1:59.01,,Christiane WARTENBERG,27 OCT 1956,GDR,5,,Leipzig (GER),1983-07-27,1180,1983,119.00999999999999
2052,1:59.01,,Vera CHUVASHOVA,07 OCT 1959,URS,6,,Moskva (URS),1984-07-19,1180,1984,119.00999999999999
2052,1:59.01,,Vera CHUVASHOVA,07 OCT 1959,URS,h,,Donetsk (URS),1984-09-07,1180,1984,119.00999999999999
2052,1:59.01,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Köln (GER),1989-08-20,1180,1989,119.00999999999999
2052,1:59.01,,Ella KOVÁCS,11 DEC 1964,ROU,1,,Frankfurt (GER),1991-06-30,1180,1991,119.00999999999999
2052,1:59.01,,Lyubov GURINA,06 AUG 1957,RUS,4,,Zürich (SUI),1992-08-19,1180,1992,119.00999999999999
2052,1:59.01,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,San Juan (PUR),1997-06-27,1180,1997,119.00999999999999
2052,1:59.01,,Qifang LIU,02 JUL 1979,CHN,h,,Shanghai (CHN),1997-10-21,1180,1997,119.00999999999999
2052,1:59.01,,Joetta CLARK,01 AUG 1962,USA,2,,"New Orleans, LA (USA)",1998-06-21,1180,1998,119.00999999999999
2052,1:59.01,,Letitia VRIESDE,05 OCT 1964,SUR,5,,"Stade Louis II, Monaco (MON)",1998-08-08,1180,1998,119.00999999999999
2052,1:59.01,,Larisa MIKHAYLOVA,03 JAN 1969,RUS,2,,"Stadion Rošický, Praha (CZE)",1999-06-14,1180,1999,119.00999999999999
2052,1:59.01,,Hasna BENHASSI,01 JUN 1978,MAR,1,,Algiers (ALG),2000-07-14,1180,2000,119.00999999999999
2052,1:59.01,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Olympiastadion, Berlin (GER)",2003-08-10,1180,2003,119.00999999999999
2052,1:59.01,,Marilyn OKORO,23 SEP 1984,GBR,2h4,,"National Stadium, Beijing (CHN)",2008-08-15,1180,2008,119.00999999999999
2052,1:59.01,,Mariya SAVINOVA,13 AUG 1985,RUS,1,,Cheboksary (RUS),2009-07-24,1180,2009,119.00999999999999
2052,1:59.01,,Malika AKKAOUI,25 DEC 1987,MAR,1,,Liévin (FRA) (i),2012-02-14,1202,2012,119.00999999999999
2052,1:59.01,,Habitam ALEMU,09 JUL 1997,ETH,4,,"Boudewijnstadion, Bruxelles (BEL)",2021-09-03,1180,2021,119.00999999999999
2052,1:59.01,,Ajee' WILSON,08 MAY 1994,USA,1,,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1180,2023,119.00999999999999
2052,1:59.01,,Sage HURTA-KLECKER,23 JUN 1998,USA,7,,"Stade Charléty, Paris (FRA)",2023-06-09,1180,2023,119.00999999999999
2052,1:59.01,,Bendere OBOYA,17 APR 2000,AUS,2,,"AIS Athletics Track, Canberra (AUS)",2024-03-02,1180,2024,119.00999999999999
2052,1:59.01,,Abbey CALDWELL,03 JUL 2001,AUS,2,,"SA Athletic Stadium, Adelaide (AUS)",2024-04-14,1180,2024,119.00999999999999
2074,1:59.02,,Hildegard ULLRICH-KÖRNER,20 DEC 1959,GDR,3,,Berlin (GER),1984-06-09,1180,1984,119.02000000000001
2074,1:59.02,,Viorica GHICAN,09 JUN 1965,ROU,1,,Pitesti (ROU),1989-06-25,1180,1989,119.02000000000001
2074,1:59.02,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,"Stade Louis II, Monaco (MON)",1989-09-01,1180,1989,119.02000000000001
2074,1:59.02,,Suzy FAVOR HAMILTON,08 AUG 1968,USA,5,,Zürich (SUI),1994-08-17,1180,1994,119.02000000000001
2074,1:59.02,,Carla SACRAMENTO,10 DEC 1971,POR,4,,"Olympiastadion, Berlin (GER)",1997-08-26,1180,1997,119.02000000000001
2074,1:59.02,,Letitia VRIESDE,05 OCT 1964,SUR,5,,Paris (FRA),1998-07-29,1180,1998,119.02000000000001
2074,1:59.02,,Jolanda ČEPLAK,12 SEP 1976,SLO,3,,"Crystal Palace, London (GBR)",2001-07-22,1180,2001,119.02000000000001
2074,1:59.02,,Zulia CALATAYUD,09 NOV 1979,CUB,1,,Thessaloniki (GRE),2001-08-22,1180,2001,119.02000000000001
2074,1:59.02,,Stephanie GRAF,26 APR 1973,AUT,4,,Paris (FRA),2003-07-04,1180,2003,119.02000000000001
2074,1:59.02,,Svetlana KLYUKA,27 DEC 1978,RUS,3,,Tula (RUS),2003-08-09,1180,2003,119.02000000000001
2074,1:59.02,,Susan SCOTT,26 SEP 1977,GBR,4,,Melbourne (AUS),2006-03-24,1180,2006,119.02000000000001
2074,1:59.02,,Zulia CALATAYUD,09 NOV 1979,CUB,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2006-09-10,1180,2006,119.02000000000001
2074,1:59.02,,Marilyn OKORO,23 SEP 1984,GBR,2f1,,Madrid (ESP),2008-07-05,1180,2008,119.02000000000001
2074,1:59.02,,Kenia SINCLAIR,14 JUL 1980,JAM,3f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2008-09-02,1180,2008,119.02000000000001
2074,1:59.02,,Eunice Jepkoech SUM,10 APR 1988,KEN,1,,"Bislett Stadion, Oslo (NOR)",2014-06-11,1180,2014,119.02000000000001
2074,1:59.02,,Margarita MUKASHEVA,04 JAN 1986,KAZ,1,,Incheon (KOR),2014-10-01,1180,2014,119.02000000000001
2074,1:59.02,,Allie WILSON,31 MAR 1996,USA,6,,"Hayward Field, Eugene, OR (USA)",2021-06-27,1180,2021,119.02000000000001
2091,1:59.03,,Vesela YATSINSKA,16 JAN 1951,BUL,2,,Lausanne (SUI),1982-07-14,1180,1982,119.03
2091,1:59.03,,Inna YEVSEYEVA,14 AUG 1964,UKR,3,,"Stadio Olimpico, Roma (ITA)",1993-06-09,1180,1993,119.03
2091,1:59.03,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1sf1,,Melbourne (AUS),2006-03-23,1180,2006,119.03
2091,1:59.03,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1,,"Letzigrund, Zürich (SUI)",2007-09-07,1180,2007,119.03
2091,1:59.03,,Marilyn OKORO,23 SEP 1984,GBR,5,,"Letzigrund, Zürich (SUI)",2008-08-29,1180,2008,119.03
2091,1:59.03,,Hasna BENHASSI,01 JUN 1978,MAR,1f1,,Madrid (ESP),2009-07-04,1180,2009,119.03
2091,1:59.03,,Svetlana CHERKASOVA,20 MAY 1978,RUS,2f1,,Moskva (RUS),2012-06-11,1180,2012,119.03
2091,1:59.03,,Brenda MARTINEZ,08 SEP 1987,USA,2sf1,,"Luzhniki Stadion, Moskva (RUS)",2013-08-16,1180,2013,119.03
2091,1:59.03,,Yekaterina ZAVYALOVA,01 MAR 1991,RUS,1,,"Sports Park Mladost, Zagreb (CRO)",2013-09-03,1180,2013,119.03
2091,1:59.03,,Malika AKKAOUI,25 DEC 1987,MAR,6sf3,,"National Stadium, Beijing (CHN)",2015-08-27,1180,2015,119.03
2091,1:59.03,,Lynsey SHARP,11 JUL 1990,GBR,3f1,,"Stadio Olimpico, Roma (ITA)",2016-06-02,1180,2016,119.03
2091,1:59.03,,Margaret Nyairera WAMBUI,15 SEP 1995,KEN,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2018-07-05,1180,2018,119.03
2091,1:59.03,,Keely HODGKINSON,03 MAR 2002,GBR,1f1,,"Ferry-Dusika-Halle, Wien (AUT) (i)",2021-01-30,1202,2021,119.03
2091,1:59.03,,Nikki HILTZ,23 OCT 1994,USA,1f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",2023-04-14,1180,2023,119.03
2105,1:59.04,,Nina KOVYLINA-VERSHININA,1958,URS,10,,Kiev (URS),1984-06-22,1179,1984,119.03999999999999
2105,1:59.04,,Martina KÄMPFERT-STEUK,11 NOV 1959,GDR,3,,Potsdam (GDR),1987-08-21,1179,1987,119.03999999999999
2105,1:59.04,,Ella KOVÁCS,11 DEC 1964,ROU,2,,Lausanne (SUI),1991-07-10,1179,1991,119.03999999999999
2105,1:59.04,,Suzy FAVOR HAMILTON,08 AUG 1968,USA,3,,"Atlanta, GA (USA)",1996-06-17,1179,1996,119.03999999999999
2105,1:59.04,,Maryam Yusuf JAMAL,16 SEP 1984,BRN,7,,"Olympic Stadium, Athina (GRE)",2006-07-03,1179,2006,119.03999999999999
2105,1:59.04,,Halima HACHLAF,06 SEP 1988,MAR,4,,"Stade Louis II, Monaco (MON)",2010-07-22,1179,2010,119.03999999999999
2105,1:59.04,,Laura ROESLER,19 DEC 1991,USA,2,,"Sacramento, CA (USA)",2014-06-29,1179,2014,119.03999999999999
2105,1:59.04,,Rose Mary ALMANZA,13 JUL 1992,CUB,1f1,,Goleniow (POL),2019-06-26,1179,2019,119.03999999999999
2105,1:59.04,,Kate GRACE,24 OCT 1988,USA,3f1,,"Griswold Stadium, Portland, OR (USA)",2021-05-29,1179,2021,119.03999999999999
2105,1:59.04,,Juliette WHITTAKER,01 DEC 2003,USA,1,,"Hayward Field, Eugene, OR (USA)",2022-06-25,1179,2022,119.03999999999999
2105,1:59.04,,Keely HODGKINSON,03 MAR 2002,GBR,1,,"Olympiastadion, München (GER)",2022-08-20,1179,2022,119.03999999999999
2116,1:59.05,,Christina CAHILL,25 MAR 1957,GBR,6,,Torino (ITA),1979-08-04,1179,1979,119.05
2116,1:59.05,,Margrit KLINGER,22 JUN 1960,FRG,2sf2,,"Olympic Stadium, Athina (GRE)",1982-09-07,1179,1982,119.05
2116,1:59.05,,Gabriella DORIO,26 JUN 1957,ITA,4,,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-06,1179,1984,119.05
2116,1:59.05,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1f2,,Roma (ITA),1984-08-31,1179,1984,119.05
2116,1:59.05,,Nina RUCHAYEVA,17 APR 1956,URS,h,,Donetsk (URS),1984-09-07,1179,1984,119.05
2116,1:59.05,,Lyubov KIRYUKHINA,19 MAY 1963,URS,4sf2,,"Neckarstadion, Stuttgart (GER)",1986-08-27,1179,1986,119.05
2116,1:59.05,,Nadezhda LOBOYKO,07 SEP 1961,URS,5,,"Seattle, WA (USA)",1990-07-23,1179,1990,119.05
2116,1:59.05,,Joetta CLARK,01 AUG 1962,USA,3f2,,Zürich (SUI),1995-08-16,1179,1995,119.05
2116,1:59.05,,Yelena AFANASYEVA,01 MAR 1967,RUS,2sf1,,"Olympic Stadium, Athina (GRE)",1997-08-07,1179,1997,119.05
2116,1:59.05,,Svetlana MASTERKOVA,17 JAN 1968,RUS,4f1,,"Stade de France, Paris-St-Denis (FRA)",1999-07-21,1179,1999,119.05
2116,1:59.05,,Brigita LANGERHOLC,23 JUL 1976,SLO,4sf2,,"Olympic Stadium, Sydney (AUS)",2000-09-23,1179,2000,119.05
2116,1:59.05,,Stephanie GRAF,26 APR 1973,AUT,1,,Linz (AUT),2003-07-31,1179,2003,119.05
2116,1:59.05,,Svetlana USOVICH,14 OCT 1980,BLR,4f1,,"Stadio Olimpico, Roma (ITA)",2005-07-08,1179,2005,119.05
2116,1:59.05,,Janeth JEPKOSGEI,13 DEC 1983,KEN,3,,"Bislett Stadion, Oslo (NOR)",2011-06-09,1179,2011,119.05
2116,1:59.05,,Alysia MONTAÑO,23 APR 1986,USA,3,,"Stade Louis II, Monaco (MON)",2012-07-20,1179,2012,119.05
2116,1:59.05,,Molly LUDLOW,04 AUG 1987,USA,2,,Bellinzona (SUI),2015-07-21,1179,2015,119.05
2116,1:59.05,,Melissa BISHOP-NRIAGU,05 AUG 1988,CAN,2sf2,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1179,2016,119.05
2116,1:59.05,,Raevyn ROGERS,07 SEP 1996,USA,5,,"Letzigrund, Zürich (SUI)",2018-08-30,1179,2018,119.05
2116,1:59.05,,Rose Mary ALMANZA,13 JUL 1992,CUB,1,,"Estadio Panamericano, La Habana (CUB)",2020-03-21,1179,2020,119.05
2116,1:59.05,,Natoya GOULE,30 MAR 1991,JAM,1,,"Stadio Comunale, Bellinzona (SUI)",2022-09-12,1179,2022,119.05
2116,1:59.05,,Abbey CALDWELL,03 JUL 2001,AUS,5sf3,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1179,2023,119.05
2116,1:59.05,,Adelle TRACEY,27 MAY 1993,JAM,3,,"Letzigrund, Zürich (SUI)",2023-08-31,1179,2023,119.05
2116,1:59.05,,Michaela ROSE,13 JUN 2003,USA,1sf3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",2024-05-25,1179,2024,119.05
2139,1:59.06,,Cristina MATEI,02 JAN 1962,ROU,2,,Bucureşti (ROU),1985-06-02,1179,1985,119.06
2139,1:59.06,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,"Indianapolis, IN (USA)",1987-08-16,1179,1987,119.06
2139,1:59.06,,Julie JENKINS,12 AUG 1964,USA,1,,Kvarnsveden (SWE),1990-06-27,1179,1990,119.06
2139,1:59.06,,Ana Fidelia QUIROT,23 MAR 1963,CUB,2h4,,"Estadio Olímpico, Barcelona (ESP)",1992-07-31,1179,1992,119.06
2139,1:59.06,,Letitia VRIESDE,05 OCT 1964,SUR,2,,"Crystal Palace, London (GBR)",1995-07-07,1179,1995,119.06
2139,1:59.06,,Dawn WILLIAMS-SEWER,23 DEC 1973,DMA,5sf1,,"Olympic Stadium, Atlanta, GA (USA)",1996-07-27,1179,1996,119.06
2139,1:59.06,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,h,,Kuala Lumpur (MAS),1998-09-17,1179,1998,119.06
2139,1:59.06,,Ivonne TEICHMANN,11 APR 1977,GER,6,,Zürich (SUI),2002-08-16,1179,2002,119.06
2139,1:59.06,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,London (GBR),2002-08-23,1179,2002,119.06
